"question","categorie","difficulte","option_a","option_b","option_c","option_d","option_e","correct_option"
"Dans un test t classique quelle est l’hypothèse nulle la plus fréquente ?","statistiques","intermédiaire","La moyenne est égale à une valeur de référence","Les variances sont toujours différentes","La corrélation vaut 1","Le modèle est non linéaire","L’échantillon suit une loi uniforme","A"
"À quoi renvoie la loi des grands nombres ?","statistiques","intermédiaire","La variance augmente avec la taille de l'échantillon","La médiane converge vers zéro","La somme des erreurs devient nulle","La moyenne empirique converge vers l'espérance","Le coefficient beta devient constant","D"
"Que capte le coefficient de corrélation de Pearson ?","statistiques","intermédiaire","Une relation causale certaine","La force d'une relation linéaire","La différence entre deux médianes","La robustesse d'un estimateur","Le nombre de classes","B"
"Pourquoi la médiane est-elle souvent préférée à la moyenne en présence d’outliers ?","statistiques","intermédiaire","Elle maximise la variance expliquée","Elle rend les tests paramétriques inutiles","Elle est moins sensible aux valeurs extrêmes","Elle impose la normalité","Elle supprime les valeurs manquantes","C"
"Comment évolue l’erreur type de la moyenne quand la taille d’échantillon augmente ?","statistiques","intermédiaire","Elle augmente linéairement","Elle reste constante","Elle devient négative","Elle suit la médiane","Elle diminue","E"
"Quel est l’objectif de la méthode des moindres carrés ordinaires ?","économétrie","intermédiaire","Minimiser la somme des carrés des résidus","Maximiser la corrélation entre X et Y","Annuler toutes les erreurs de mesure","Rendre les variables indépendantes","Imposer des coefficients entiers","A"
"Quelle est une conséquence classique de l’endogénéité ?","économétrie","intermédiaire","Des estimateurs toujours efficaces","Des estimateurs biaisés et potentiellement incohérents","Une baisse automatique de la variance","Une parfaite identification du modèle","Une normalité garantie des résidus","B"
"Dans une stratégie par variable instrumentale quel critère est indispensable ?","économétrie","avancé","L’instrument est corrélé avec la variable endogène","La variable dépendante est binaire","L’instrument est une variable qualitative","Le R2 du premier stade est nul","Les résidus sont homoscédastiques","A"
"Que signifie l’hétéroscédasticité dans un modèle de régression ?","économétrie","facile","Les coefficients changent de signe","Les erreurs sont autocorrélées","La variance des erreurs n’est pas constante","La moyenne conditionnelle est nulle","Le modèle contient des variables qualitatives","C"
"À quoi sert principalement le test de Durbin-Watson ?","économétrie","intermédiaire","Détecter la multicolinéarité","Mesurer la normalité des variables","Tester l’endogénéité","Détecter l’autocorrélation des résidus","Comparer deux modèles non emboîtés","D"
"Quel est l’intérêt principal des effets fixes en données de panel ?","économétrie","intermédiaire","Ils corrigent toujours l’endogénéité dynamique","Ils contrôlent l’hétérogénéité invariante dans le temps","Ils imposent l’homoscédasticité","Ils augmentent systématiquement le R2 ajusté","Ils remplacent les variables explicatives","B"
"Quel effet a la multicolinéarité forte entre régresseurs ?","économétrie","intermédiaire","Elle garantit des coefficients stables","Elle réduit le risque d’omission","Elle augmente la puissance prédictive hors échantillon","Elle impose une relation causale","Elle gonfle la variance des estimateurs","E"
"Dans un modèle log-linéaire comment interpréter approximativement un coefficient de X ?","économétrie","intermédiaire","Comme une variation en pourcentage de Y pour une unité de X","Comme une variation absolue de Y en unités","Comme une probabilité conditionnelle","Comme une covariance standardisée","Comme un odds ratio exact","A"
"Quel est l’objectif principal de l’ACP ?","analyse des données multivariée","facile","Réduire la dimension en maximisant la variance expliquée","Sélectionner automatiquement la variable dépendante","Transformer les variables qualitatives en labels","Imposer une distribution normale aux données","Détecter les valeurs manquantes","A"
"Quelle méthode est adaptée à des variables qualitatives multiples ?","analyse des données multivariée","intermédiaire","ACP","ACM","Régression ridge","KNN","Random Forest","B"
"Quel type de sortie fournit un clustering hiérarchique agglomératif ?","analyse des données multivariée","intermédiaire","Une matrice de confusion","Un estimateur de densité","Une série temporelle","Un dendrogramme","Un score ROC","D"
"Pourquoi standardise-t-on souvent les variables avant une ACP ?","analyse des données multivariée","intermédiaire","Pour augmenter la corrélation entre toutes les variables","Pour supprimer le bruit de mesure","Pour éviter qu’une échelle domine les composantes","Pour transformer les variables en variables binaires","Pour garantir une causalité","C"
"Quel paramètre doit être fixé avant d’appliquer K-means ?","analyse des données multivariée","intermédiaire","Le nombre de clusters k","La taille du jeu de test","Le niveau de significativité alpha","La dimension latente optimale","La valeur du F1-score","A"
"En ACP que signifie une variable active ?","analyse des données multivariée","facile","Une variable supprimée de l’analyse","Une variable qui contribue au calcul des axes","Une variable utilisée seulement pour prédire Y","Une variable binaire recodée","Une variable fortement corrélée à toutes les autres","B"
"Que représente l’inertie expliquée par un axe principal ?","analyse des données multivariée","intermédiaire","Le nombre de classes détectées","La proportion de variance captée par cet axe","Le taux de valeurs manquantes","Le nombre de corrélations nulles","La moyenne des charges factorielles","B"
"Quel est le principe de la méthode de Ward en classification hiérarchique ?","analyse des données multivariée","intermédiaire","Maximiser la distance inter-classe uniquement","Minimiser l’augmentation de l’inertie intra-classe","Fixer des clusters de taille égale","Choisir le cluster le plus dense","Supprimer les observations atypiques","B"
"Que signifie le surapprentissage en machine learning ?","machine learning","facile","Le modèle ne converge jamais","Le modèle apprend le bruit du train et généralise mal","Le modèle utilise trop peu de variables","Le modèle est forcément linéaire","Le modèle est non supervisé","B"
"À quoi sert un jeu de validation dans un pipeline ML ?","machine learning","intermédiaire","Évaluer uniquement la vitesse d’entraînement","Remplacer totalement le jeu de test","Ajuster les hyperparamètres sans toucher au test final","Calculer la corrélation entre variables","Augmenter artificiellement la taille du train","C"
"Quel effet produit souvent une régularisation L1 ?","machine learning","intermédiaire","Elle augmente tous les coefficients","Elle rend le modèle non linéaire","Elle supprime la nécessité du train-test split","Elle pousse certains coefficients à zéro","Elle maximise toujours l’accuracy","D"
"Quel est le but de la descente de gradient ?","machine learning","intermédiaire","Minimiser une fonction de coût","Maximiser le nombre de features","Réduire la dimension des embeddings","Trouver des clusters denses","Imposer la normalité des variables","A"
"Quel est l’avantage majeur de la validation croisée k-fold ?","machine learning","intermédiaire","Elle élimine le besoin de test final","Elle accélère toujours l’entraînement","Elle fournit une estimation plus robuste de la performance","Elle garantit un modèle sans biais","Elle réduit la variance de l’estimation de performance","C;E"
"En cas de classes très déséquilibrées quelle métrique est souvent plus informative que l’accuracy ?","machine learning","intermédiaire","MSE","F1-score","R2","MAPE","Silhouette Score","B"
"Pourquoi fixer une random seed pendant l’entraînement ?","machine learning","intermédiaire","Pour augmenter automatiquement la précision","Pour supprimer le besoin de normalisation","Pour réduire la taille des données","Pour éviter les outliers","Pour améliorer la reproductibilité des résultats","E"
"Quel est le principe du boosting ?","machine learning","intermédiaire","Combiner des modèles faibles en corrigeant itérativement les erreurs","Apprendre un seul arbre très profond","Échantillonner des variables sans remise","Réduire la dimension des données textuelles","Regrouper des points par distance","A"
"Que contient une matrice de confusion en classification binaire ?","machine learning","intermédiaire","Uniquement les vrais positifs","Le score ROC et l’AUC","Les coefficients du modèle","Les vrais positifs faux positifs vrais négatifs et faux négatifs","La matrice de covariance","D"
"Quel est l’objectif de la lemmatisation en NLP ?","NLP","intermédiaire","Traduire automatiquement un texte","Ramener les mots à leur forme canonique","Supprimer toutes les ponctuations","Transformer le texte en image","Calculer une corrélation","B"
"Pourquoi retire-t-on parfois les stop words ?","NLP","intermédiaire","Pour réduire les mots fréquents peu informatifs","Pour conserver uniquement les verbes","Pour créer des bigrammes","Pour détecter les entités nommées","Pour calculer des embeddings visuels","A"
"Qu’est-ce qu’un n-gramme ?","NLP","facile","Un score de classification","Séquence de n tokens consécutifs","Une méthode de clustering","Une couche de réseau convolutif","Un type de base de données","B"
"À quoi sert principalement le score BLEU ?","NLP","intermédiaire","Évaluer la reconnaissance d'entités","Mesurer la similarité d'embeddings","Comparer des résumés extractifs","Évaluer la qualité d'une traduction automatique","Mesurer la perplexité d'un corpus","D"
"Que signifie une perplexité plus faible pour un modèle de langue ?","NLP","facile","Le modèle est plus incertain","Le vocabulaire est plus petit","Les phrases sont plus longues","Le modèle prédit mieux les séquences","La tokenisation est mauvaise","D"
"Quel est l'intérêt de Byte Pair Encoding ?","NLP","intermédiaire","Mesurer la corrélation entre documents","Gérer les mots rares via des sous-unités","Remplacer les embeddings contextuels","Supprimer les entités nommées","Augmenter la taille du vocabulaire","B"
"Quelle différence principale entre stemming et lemmatisation ?","NLP","intermédiaire","Le stemming tronque de façon heuristique alors que la lemmatisation utilise la forme linguistique","Le stemming est toujours plus précis","La lemmatisation ne dépend pas de la langue","Le stemming produit des phrases complètes","La lemmatisation ne réduit jamais les mots","A"
"Quelle est une limite majeure du bag of words ?","NLP","intermédiaire","Il exige un GPU","Il ne fonctionne qu'avec l'anglais","Il perd l'ordre des mots","Il impose des embeddings contextuels","Il nécessite des labels de classes","C"
"Que mesure la similarité cosinus entre deux vecteurs ?","LLM","intermédiaire","La différence de leurs normes","L'erreur quadratique moyenne","L'ordre alphabétique des tokens","L'angle entre les vecteurs","Le nombre de dimensions","D"
"Quel effet a un paramètre de température élevé lors du décodage d'un LLM ?","LLM","intermédiaire","Des sorties plus variées et moins déterministes","Une réduction automatique des hallucinations","Une suppression des tokens rares","Un contexte plus long","Un entraînement plus rapide","A"
"Que contrôle le top-p sampling ?","LLM","intermédiaire","Le nombre fixe de tokens candidats","La taille du batch d'entraînement","Le plus petit ensemble de tokens dont la probabilité cumulée atteint p","La dimension des embeddings","Le nombre de couches du modèle","C"
"Quelle différence clé entre fine-tuning et prompt engineering ?","LLM","intermédiaire","Le prompt engineering modifie les poids du modèle","Le fine-tuning met à jour les paramètres du modèle","Le fine-tuning ne nécessite pas de données","Le prompt engineering est impossible en production","Il n'existe aucune différence","B"
"Que désigne une hallucination dans un LLM ?","LLM","intermédiaire","Une baisse temporaire de la latence","Une erreur de tokenisation","Une fuite mémoire GPU","Une réponse plausible mais factuellement incorrecte","Un bug d'interface","D"
"Quel est l'intérêt principal d'une approche RAG ?","LLM","avancé","Ancrer les réponses sur des documents externes récents","Remplacer totalement les embeddings","Éviter toute phase d'indexation","Réduire les hallucinations en s'appuyant sur des sources","Supprimer le besoin d'évaluation","A;D"
"Que représente la fenêtre de contexte d'un LLM ?","LLM","intermédiaire","Le nombre de paramètres entraînables","Le nombre de couches d'attention","Le nombre maximal de tokens pris en compte dans un échange","La durée d'une époque d'entraînement","Le nombre d'API appelées","C"
"À quoi sert le message system dans une conversation avec un LLM ?","LLM","intermédiaire","Définir les règles globales de comportement du modèle","Augmenter la mémoire GPU","Modifier les poids en ligne","Réduire la taille des prompts utilisateurs","Remplacer les documents de contexte","A"
"Quel est l'objectif de RLHF ?","LLM","avancé","Optimiser uniquement la vitesse d'inférence","Aligner les réponses du modèle avec des préférences humaines","Supprimer tous les biais statistiques","Réduire certains comportements indésirables du modèle","Éliminer l'étape de pré-entraînement","B;D"
"Quelle technique consiste à rééchantillonner les données avec remise pour estimer une incertitude ?","statistiques","intermédiaire","Bootstrap","Standardisation","Factorisation","Imputation","Régularisation","A"
"Que représente le premier quartile Q1 ?","statistiques","intermédiaire","La valeur en dessous de laquelle se trouvent 25% des observations","La moyenne pondérée des observations","Le maximum de la série","La médiane des écarts absolus","La variance conditionnelle","A"
"Dans un test du chi-deux d'indépendance que teste l'hypothèse nulle ?","statistiques","intermédiaire","Les variables sont indépendantes","Les variables sont causales","Les distributions sont normales","Les moyennes sont égales","Les variances sont nulles","A"
"Qu'est-ce qu'une erreur de type I ?","statistiques","facile","Ne pas rejeter H0 quand H0 est fausse","Rejeter H0 alors que H0 est vraie","Choisir un mauvais estimateur","Utiliser un mauvais échantillon","Oublier une variable","B"
"Comment s'appelle l'erreur consistant à ne pas rejeter H0 alors qu'elle est fausse ?","statistiques","intermédiaire","Erreur de type I","Erreur de spécification","Erreur de type II","Erreur d'arrondi","Erreur de mesure","C"
"Que mesure un z-score pour une observation ?","statistiques","intermédiaire","Le nombre de modalités manquantes","Le rang percentile strict","La covariance partielle","Le nombre d'écarts-types à la moyenne","Le coefficient d'asymétrie","D"
"Une asymétrie positive d'une distribution signifie généralement que","statistiques","intermédiaire","La queue est plus longue à gauche","La queue est plus longue à droite","La distribution est uniforme","La médiane est toujours négative","La variance est nulle","B"
"À quoi sert l'écart interquartile ?","statistiques","intermédiaire","Mesurer une dispersion robuste autour de la médiane","Estimer la causalité","Mesurer la corrélation linéaire","Calculer la p-valeur","Détecter les séries temporelles","A"
"Si covariance(X Y)=0 que peut-on conclure ?","statistiques","intermédiaire","X et Y sont indépendantes","X cause Y directement","Il n'y a pas de relation linéaire apparente","La relation est forcément quadratique","X et Y ont la même variance","C"
"Quel théorème justifie l'approximation normale de la moyenne empirique pour grand n ?","statistiques","intermédiaire","Théorème de Bayes","Théorème central limite","Théorème de Gauss-Markov","Théorème de Kolmogorov","Théorème de Cochran","B"
"Un estimateur sans biais vérifie quelle propriété ?","statistiques","intermédiaire","Son espérance est égale au vrai paramètre","Sa variance est toujours nulle","Il est toujours efficace","Il est toujours normal","Il minimise toujours la MSE","A"
"Quel critère est maximisé par la méthode du maximum de vraisemblance ?","statistiques","intermédiaire","La corrélation moyenne","Le R2 ajusté","Le score F1","La distance euclidienne","La vraisemblance des données observées","E"
"Quel test non paramétrique compare deux échantillons indépendants ?","statistiques","intermédiaire","Durbin-Watson","Jarque-Bera","Breusch-Pagan","Mann-Whitney","U de Theil","D"
"Pourquoi appliquer une correction de Bonferroni ?","statistiques","intermédiaire","Augmenter la puissance d'un test unique","Contrôler le risque global d'erreur de type I sur tests multiples","Réduire la taille de l'échantillon","Remplacer un test paramétrique","Forcer la normalité","B"
"Que mesure principalement la kurtosis ?","statistiques","intermédiaire","La corrélation partielle","La pente moyenne","L'épaisseur des queues et l'aplatissement","Le niveau de bruit blanc","La dépendance temporelle","C"
"Dans une loi normale environ quelle proportion est dans [mu-2sigma mu+2sigma] ?","statistiques","intermédiaire","68%","80%","90%","95%","99%","D"
"Quel est l'objectif de la méthode des doubles différences ?","économétrie","intermédiaire","Isoler un effet causal via une variation avant-après entre groupes","Mesurer la corrélation simple","Réduire la dimension de X","Imposer une forme non linéaire","Supprimer les variables qualitatives","A"
"Quelle hypothèse est centrale pour un estimateur diff-in-diff valide ?","économétrie","avancé","Erreurs homoscédastiques strictes","Indépendance parfaite des régresseurs","Tendances parallèles en absence de traitement","Normalité exacte des résidus","Absence de variable muette","C"
"Que provoque une variable omise corrélée avec X dans une régression ?","économétrie","intermédiaire","Un biais d'endogénéité","Une baisse systématique de R2","Une variance nulle des coefficients","Une matrice inversible garantie","Une convergence plus rapide","A"
"À quoi sert le test de Hausman ?","économétrie","avancé","Tester la normalité des résidus","Comparer effets fixes et effets aléatoires","Détecter les outliers","Mesurer l'autocorrélation d'ordre 2","Valider une ACP","B"
"Pourquoi utilise-t-on des erreurs standards robustes de White ?","économétrie","intermédiaire","Pour corriger la non-linéarité du modèle","Pour traiter les valeurs manquantes","Pour rendre l'inférence robuste à l'hétéroscédasticité","Pour éviter le surapprentissage","Pour corriger la multicolinéarité","C"
"Le dummy variable trap correspond à","économétrie","intermédiaire","Un manque de variables explicatives","Une endogénéité dynamique","Une autocorrélation parfaite","Une colinéarité parfaite entre variables muettes","Une erreur de type II","D"
"Dans un modèle logit comment interprète-t-on un coefficient ?","économétrie","intermédiaire","Via un impact sur le log-odds et donc les odds ratios","Comme une variation absolue certaine de Y","Comme une élasticité directe","Comme un effet causal garanti","Comme un score de clustering","A"
"Quel lien de probabilité est typique du modèle probit ?","économétrie","intermédiaire","Logistique","Cauchy","Normale standard","Uniforme","Exponentielle","C"
"Quelle différence clé entre effets fixes et effets aléatoires ?","économétrie","intermédiaire","Les effets fixes autorisent corrélation entre effet individuel et régresseurs","Les effets aléatoires imposent une variable dépendante binaire","Les effets fixes ne sont pas estimables","Les effets aléatoires n'utilisent pas de panel","Il n'existe aucune différence","A"
"En variables instrumentales quel signal suggère un instrument faible ?","économétrie","avancé","Un R2 élevé au second stade","Un F faible au premier stade","Un p-value élevé au test t final","Une AIC faible","Un VIF faible","B"
"À quoi sert le test ADF en séries temporelles ?","économétrie","intermédiaire","Tester l'homoscédasticité","Détecter un changement de régime","Évaluer la stationnarité via racine unitaire","Mesurer la causalité de Granger","Choisir le meilleur cluster","C"
"Que signifie la cointégration entre deux séries non stationnaires ?","économétrie","facile","Les séries sont indépendantes","Leur variance est constante","Une relation d'équilibre de long terme existe","Leur moyenne est nulle","Leur corrélation est exactement 1","C"
"Dans quel cas les erreurs standards Newey-West sont-elles utiles ?","économétrie","avancé","Autocorrélation et hétéroscédasticité potentielles","Variables qualitatives rares","Régression logistique multinomiale","ACP sur variables mixtes","Réseaux neuronaux profonds","A"
"Un VIF très élevé indique généralement","économétrie","intermédiaire","Une forte multicolinéarité","Une bonne qualité prédictive","Un modèle sous-paramétré","Une stationnarité parfaite","Une absence de bruit","A"
"Dans un modèle log-log le coefficient d'une variable continue représente","économétrie","intermédiaire","Une élasticité","Un effet seuil discret","Un odds ratio","Une variance conditionnelle","Un score de classification","A"
"Dans un modèle avec interaction X*D le coefficient d'interaction mesure","économétrie","intermédiaire","L'effet différentiel de X selon D","La moyenne de X","Le taux de données manquantes","La corrélation brute entre X et Y","La p-valeur globale","A"
"Que caractérise un panel déséquilibré ?","économétrie","intermédiaire","Chaque individu a le même nombre d'observations","Le nombre de périodes varie selon les individus","Les variables sont toutes qualitatives","Les effets fixes sont impossibles","Il n'y a pas d'erreur de mesure","B"
"Quel graphique est produit par une classification hiérarchique ?","analyse des données multivariée","intermédiaire","Matrice de transition","Courbe ROC","Heatmap de confusion","Dendrogramme","Boxplot","D"
"À quoi sert la méthode du coude en clustering ?","analyse des données multivariée","intermédiaire","Choisir un nombre de clusters plausible","Déterminer le seuil de significativité","Mesurer l'autocorrélation","Sélectionner des instruments","Évaluer une traduction","A"
"Un score de silhouette proche de 1 indique","analyse des données multivariée","intermédiaire","Des clusters mal séparés","Un bruit élevé","Des clusters bien séparés et compacts","Une stationnarité de série","Une colinéarité forte","C"
"Que représente un biplot en ACP ?","analyse des données multivariée","intermédiaire","Seulement les corrélations partielles","Individus et variables projetés dans le plan factoriel","Uniquement les valeurs propres","Des courbes de survie","Les résidus du modèle","B"
"Le critère de Kaiser en analyse factorielle recommande souvent de conserver les axes avec","analyse des données multivariée","intermédiaire","Valeur propre supérieure à 1","Variance inférieure à 1%","p-valeur inférieure à 0.5","Charges nulles","Contribution négative","A"
"Quel est l'objectif d'une rotation Varimax ?","analyse des données multivariée","avancé","Augmenter la dimension","Réduire le nombre d'observations","Supprimer les outliers","Simplifier l'interprétation des facteurs","Rendre les données normales","D"
"La distance de Mahalanobis a l'avantage de","analyse des données multivariée","avancé","Ignorer la corrélation entre variables","Être identique à la distance Manhattan","Toujours valoir entre 0 et 1","Ne pas dépendre de l'échelle","Intégrer la covariance entre variables","E"
"Quel est l'objectif principal du MDS ?","analyse des données multivariée","facile","Maximiser la p-valeur","Préserver les distances en basse dimension","Détecter des causes","Estimer un modèle logit","Apprendre un classifieur","B"
"t-SNE est surtout apprécié pour","analyse des données multivariée","intermédiaire","La préservation stricte des distances globales","La modélisation causale","La préservation des voisinages locaux","La stationnarité des séries","La sélection d'instruments","C"
"UMAP est souvent choisi car","analyse des données multivariée","avancé","Il est rapide et conserve une structure utile pour la visualisation","Il garantit des axes orthogonaux","Il remplace toutes les méthodes supervisées","Il impose une distribution gaussienne","Il ne dépend pas des hyperparamètres","A"
"Quelle méthode est adaptée à des données mixtes quantitatives et qualitatives ?","analyse des données multivariée","intermédiaire","LDA","FastICA","FAMD","ARIMA","OLS","C"
"Quel algorithme de clustering est adapté aux données mixtes ?","analyse des données multivariée","intermédiaire","K-prototypes","DBSCAN spectral","PCA hiérarchique","Naive Bayes","KNN régularisé","A"
"Pourquoi standardiser avant K-means ?","analyse des données multivariée","intermédiaire","Pour équilibrer l'influence des variables de différentes échelles","Pour convertir en variables binaires","Pour supprimer les doublons","Pour éviter toute initialisation aléatoire","Pour mesurer la causalité","A"
"La malédiction de la dimension correspond notamment au fait que","analyse des données multivariée","intermédiaire","Les distances deviennent moins discriminantes","Les p-valeurs deviennent nulles","Les variables deviennent stationnaires","Le clustering devient supervisé","La variance disparaît","A"
"L'ACM est principalement utilisée pour","analyse des données multivariée","intermédiaire","Variables qualitatives multiples","Séries temporelles non stationnaires","Variables binaires uniquement","Régression causale","Données audio","A"
"Une inertie intra-classe faible suggère","analyse des données multivariée","intermédiaire","Des clusters compacts","Des clusters aléatoires","Une variance nulle globale","Une causalité identifiée","Un surapprentissage systématique","A"
"Un score Calinski-Harabasz élevé suggère souvent","analyse des données multivariée","intermédiaire","Mauvaise séparation entre clusters","Bonne séparation inter-classe et compacité intra-classe","Stationnarité forte","Multicolinéarité faible","Puissance faible","B"
"Quel est le rôle d'un jeu de validation en machine learning ?","machine learning","intermédiaire","Ajuster les hyperparamètres sans utiliser le test final","Augmenter la taille du train","Supprimer le besoin d'étiquettes","Remplacer la normalisation","Calculer la p-valeur finale","A"
"Quand privilégie-t-on la précision plutôt que le rappel ?","machine learning","intermédiaire","Quand les faux positifs sont coûteux","Quand les faux négatifs sont coûteux","Quand les classes sont équilibrées","Quand le modèle est linéaire","Jamais","A"
"Quand privilégie-t-on le rappel plutôt que la précision ?","machine learning","intermédiaire","Quand les faux positifs sont sans impact","Quand les faux négatifs sont coûteux","Quand il n'y a pas de labels","Quand le dataset est petit","Quand la variance est nulle","B"
"La courbe ROC représente","machine learning","intermédiaire","La précision selon le seuil","Le rappel selon le seuil","Le taux de faux négatifs selon le seuil","Le TPR en fonction du FPR","Le F1 en fonction du temps","D"
"Dans des classes très déséquilibrées quelle courbe est souvent plus informative ?","machine learning","intermédiaire","Courbe de Lorenz","Courbe de Kaplan-Meier","Courbe autocorrélogramme","Courbe QQ","Courbe précision-rappel","E"
"Quel est l'effet principal du bagging ?","machine learning","intermédiaire","Réduire la variance du modèle","Augmenter le biais systématiquement","Supprimer le bruit de labels","Rendre le modèle causal","Transformer les variables qualitatives","A"
"Un learning rate trop élevé peut entraîner","machine learning","intermédiaire","Une convergence plus stable","Une généralisation parfaite","Des oscillations voire une divergence","Une réduction automatique du surapprentissage","Une disparition du gradient","C"
"À quoi sert l'early stopping ?","machine learning","intermédiaire","Réduire les dimensions","Gérer les valeurs manquantes","Mesurer la précision hors échantillon","Limiter le surapprentissage en arrêtant au bon moment","Régler les seuils de décision","D"
"Que fait le dropout durant l'entraînement ?","machine learning","intermédiaire","Ajoute des observations","Désactive aléatoirement une partie des neurones","Augmente la taille du batch","Supprime la fonction de perte","Corrige la multicolinéarité","B"
"Quel est l'intérêt principal de la batch normalization ?","machine learning","intermédiaire","Stabiliser et accélérer l'entraînement","Réduire le nombre de classes","Remplacer l'optimiseur","Supprimer le besoin de validation","Garantir l'absence de biais","A"
